filename,path,recommendation,confidence,reasoning,forbidden_patterns,has_main_function,has_functions,has_classes
s3_session_manager.py,tidyllm\deprecated\session_management\vectorqa\s3_session_manager.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,False,3,4
production_tracking_drop_zones_old_boto3.py,tidyllm\deprecated\session_management\production_tracking_drop_zones_old_boto3.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,True,2,1
unified_credential_setup.py,scripts\unified_credential_setup.py,needs_migration,high,"Contains forbidden patterns: boto3_direct, psycopg2_direct",boto3_direct; psycopg2_direct,True,1,1
test_config.py,tidyllm\admin\test_config.py,needs_migration,high,"Contains forbidden patterns: boto3_direct, psycopg2_direct",boto3_direct; psycopg2_direct,True,1,1
rudy_test_embeddings.py,rudy_test_embeddings.py,needs_migration,high,Contains forbidden patterns: psycopg2_direct,psycopg2_direct,True,1,1
corporate_llm_gateway.py,tidyllm\gateways\corporate_llm_gateway.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,5
gateway_registry.py,tidyllm\gateways\gateway_registry.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,3
2_test_s3_aws.py,tests\2_test_s3_aws.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,False,1,4
__init__.py,tidyllm\knowledge_resource_server\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
interfaces.py,tidyllm\knowledge_resource_server\interfaces.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
file_storage_gateway.py,tidyllm\gateways\file_storage_gateway.py,uncertain_has_todos,medium,Has TODO items: 1 found,,False,0,3
database_gateway.py,tidyllm\gateways\database_gateway.py,needs_migration,high,Contains forbidden patterns: psycopg2_direct,psycopg2_direct,False,0,3
workflow_optimizer_gateway.py,tidyllm\gateways\workflow_optimizer_gateway.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,5
base_gateway.py,tidyllm\gateways\base_gateway.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,4
__init__.py,tidyllm\gateways\__init__.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
dspy_coordinated_rag_system.py,tidyllm\deprecated\old-examples\dspy_coordinated_rag_system.py,needs_migration,high,Contains forbidden patterns: numpy_usage,numpy_usage,True,5,11
rag_demo_polars.py,tidyllm\deprecated\old-examples\rag_demo_polars.py,needs_migration,high,Demo with executable main; Contains forbidden patterns: numpy_usage,numpy_usage,True,8,1
config_manager.py,tidyllm\deprecated\old-tidyllm\admin\config_manager.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,8
gateway_control.py,tidyllm\deprecated\old-tidyllm\admin\gateway_control.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,5
advanced_mlflow.py,tidyllm\deprecated\old-tidyllm\advanced_mlflow.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,7,10
api_server.py,tidyllm\deprecated\old-tidyllm\api_server.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,9
attachments_enhanced.py,tidyllm\deprecated\old-tidyllm\attachments_enhanced.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,6,5
analysis.py,tidyllm\deprecated\old-tidyllm\compliance\consistency\analysis.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
__init__.py,tidyllm\deprecated\old-tidyllm\compliance\consistency\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
validation.py,tidyllm\deprecated\old-tidyllm\compliance\evidence\validation.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
__init__.py,tidyllm\deprecated\old-tidyllm\compliance\evidence\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
standards.py,tidyllm\deprecated\old-tidyllm\compliance\model_risk\standards.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
__init__.py,tidyllm\deprecated\old-tidyllm\compliance\model_risk\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm\deprecated\old-tidyllm\compliance\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
core.py,tidyllm\deprecated\old-tidyllm\core.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,5,2
database_integration.py,tidyllm\deprecated\old-tidyllm\database_integration.py,needs_migration,high,"Contains forbidden patterns: psycopg2_direct, numpy_usage",psycopg2_direct; numpy_usage,False,2,4
demo_protection.py,tidyllm\deprecated\old-tidyllm\demo_protection.py,uncertain_needs_manual_review,low,Demo but missing main execution; Mixed indicators - needs manual review,,False,3,4
classifier.py,tidyllm\deprecated\old-tidyllm\documents\classification\classifier.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
__init__.py,tidyllm\deprecated\old-tidyllm\documents\classification\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
metadata.py,tidyllm\deprecated\old-tidyllm\documents\extraction\metadata.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
text.py,tidyllm\deprecated\old-tidyllm\documents\extraction\text.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
__init__.py,tidyllm\deprecated\old-tidyllm\documents\extraction\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
business.py,tidyllm\deprecated\old-tidyllm\documents\templates\business.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
__init__.py,tidyllm\deprecated\old-tidyllm\documents\templates\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm\deprecated\old-tidyllm\documents\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
dspy_bedrock_enhanced.py,tidyllm\deprecated\old-tidyllm\dspy_bedrock_enhanced.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,5
dspy_enhanced.py,tidyllm\deprecated\old-tidyllm\dspy_enhanced.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,8
dspy_gateway_backend.py,tidyllm\deprecated\old-tidyllm\dspy_gateway_backend.py,uncertain_has_todos,medium,Has TODO items: 1 found,,False,2,3
dspy_wrapper.py,tidyllm\deprecated\old-tidyllm\dspy_wrapper.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,9
dt.py,tidyllm\deprecated\old-tidyllm\dt.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,2
encrypted_database_integration.py,tidyllm\deprecated\old-tidyllm\encrypted_database_integration.py,needs_migration,high,Contains forbidden patterns: numpy_usage,numpy_usage,False,2,4
standards.py,tidyllm\deprecated\old-tidyllm\enterprise\analysis\model_risk\standards.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
__init__.py,tidyllm\deprecated\old-tidyllm\enterprise\analysis\model_risk\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm\deprecated\old-tidyllm\enterprise\analysis\__init__.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
unified_framework.py,tidyllm\deprecated\old-tidyllm\enterprise\frameworks\unified_framework.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,5
__init__.py,tidyllm\deprecated\old-tidyllm\enterprise\frameworks\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
platform.py,tidyllm\deprecated\old-tidyllm\enterprise\platform.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
dag_manager.py,tidyllm\deprecated\old-tidyllm\enterprise\workflows\dag_manager.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,12
sparse_system.py,tidyllm\deprecated\old-tidyllm\enterprise\workflows\sparse_system.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,9
__init__.py,tidyllm\deprecated\old-tidyllm\enterprise\workflows\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm\deprecated\old-tidyllm\enterprise\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
error_handling.py,tidyllm\deprecated\old-tidyllm\error_handling.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,7,9
error_tracker.py,tidyllm\deprecated\old-tidyllm\error_tracker.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,5
base_gateway.py,tidyllm\deprecated\old-tidyllm\gateway\core\base_gateway.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,6
mlflow_backend.py,tidyllm\deprecated\old-tidyllm\gateway\core\mlflow_backend.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
provider_registry.py,tidyllm\deprecated\old-tidyllm\gateway\core\provider_registry.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,6
rate_limiter.py,tidyllm\deprecated\old-tidyllm\gateway\core\rate_limiter.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,7
security.py,tidyllm\deprecated\old-tidyllm\gateway\core\security.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,5
monitoring.py,tidyllm\deprecated\old-tidyllm\gateway\enterprise\monitoring.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,7
spend_tracking.py,tidyllm\deprecated\old-tidyllm\gateway\enterprise\spend_tracking.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,8
database_gateway.py,tidyllm\deprecated\old-tidyllm\gateway\gateways\database_gateway.py,needs_migration,high,Contains forbidden patterns: psycopg2_direct,psycopg2_direct,False,0,3
file_storage_gateway.py,tidyllm\deprecated\old-tidyllm\gateway\gateways\file_storage_gateway.py,uncertain_has_todos,medium,Has TODO items: 1 found,,False,0,3
llm_gateway.py,tidyllm\deprecated\old-tidyllm\gateway\gateways\llm_gateway.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
llmdata_integration.py,tidyllm\deprecated\old-tidyllm\gateway\integrations\llmdata_integration.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,14,1
mcp_integration.py,tidyllm\deprecated\old-tidyllm\gateway\integrations\mcp_integration.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,4
litellm_clone.py,tidyllm\deprecated\old-tidyllm\gateway\litellm_clone.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,8,2
__init__.py,tidyllm\deprecated\old-tidyllm\gateway\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
gateway_simple.py,tidyllm\deprecated\old-tidyllm\gateway_simple.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,3
hierarchical_dag_manager.py,tidyllm\deprecated\old-tidyllm\heiros\dag-manager\hierarchical_dag_manager.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,12
control_signal_nodes.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system\control_signal_nodes.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,6
dspy_electrical_signatures.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system\dspy_electrical_signatures.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,11
electrical_workflow_visualizer.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system\electrical_workflow_visualizer.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,5
flow_schemas.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system\flow_schemas.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,10
input_source_nodes.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system\input_source_nodes.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,6
mcp_electrical_decorators.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system\mcp_electrical_decorators.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,11
output_sink_nodes.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system\output_sink_nodes.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,7
simple_viz_demo.py,tidyllm\deprecated\old-tidyllm\heiros\electrical-system\simple_viz_demo.py,inactive_no_functionality,high,Demo but missing main execution; No functions or classes defined,,False,0,0
pdf_extractor_embeddings.py,tidyllm\deprecated\old-tidyllm\heiros\research-pipeline\pdf_extractor_embeddings.py,needs_migration,high,"Contains forbidden patterns: psycopg2_direct, numpy_usage",psycopg2_direct; numpy_usage,False,0,6
run_pipeline.py,tidyllm\deprecated\old-tidyllm\heiros\research-pipeline\run_pipeline.py,needs_migration,high,Contains forbidden patterns: psycopg2_direct,psycopg2_direct,True,1,0
sparse_system.py,tidyllm\deprecated\old-tidyllm\heiros\sparse-agreement\sparse_system.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,9
load_testing.py,tidyllm\deprecated\old-tidyllm\load_testing.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,7
multimodal.py,tidyllm\deprecated\old-tidyllm\multimodal.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,5,1
numpy_compat.py,tidyllm\deprecated\old-tidyllm\numpy_compat.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,4
polars_compat.py,tidyllm\deprecated\old-tidyllm\polars_compat.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,7,1
analysis.py,tidyllm\deprecated\old-tidyllm\research\analysis.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,5,1
attachments.py,tidyllm\deprecated\old-tidyllm\research\attachments.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
citations.py,tidyllm\deprecated\old-tidyllm\research\citations.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,10,1
core.py,tidyllm\deprecated\old-tidyllm\research\core.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,2
discovery.py,tidyllm\deprecated\old-tidyllm\research\discovery.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
__init__.py,tidyllm\deprecated\old-tidyllm\research\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
security.py,tidyllm\deprecated\old-tidyllm\security.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,6
settings_loader.py,tidyllm\deprecated\old-tidyllm\settings_loader.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,2
constants.py,tidyllm\deprecated\old-tidyllm\tidymart\constants.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,8
core.py,tidyllm\deprecated\old-tidyllm\tidymart\core.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,4
exceptions.py,tidyllm\deprecated\old-tidyllm\tidymart\exceptions.py,inactive_no_imports,medium,No imports - likely empty or template,,False,0,11
inmemory.py,tidyllm\deprecated\old-tidyllm\tidymart\storage\inmemory.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
__init__.py,tidyllm\deprecated\old-tidyllm\tidymart\storage\__init__.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
__init__.py,tidyllm\deprecated\old-tidyllm\tidymart\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
gaussian.py,tidyllm\deprecated\old-tidyllm\tlm\anomaly\gaussian.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
scaled_dot_product.py,tidyllm\deprecated\old-tidyllm\tlm\attention\scaled_dot_product.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
kmeans.py,tidyllm\deprecated\old-tidyllm\tlm\cluster\kmeans.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
activations.py,tidyllm\deprecated\old-tidyllm\tlm\core\activations.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
losses.py,tidyllm\deprecated\old-tidyllm\tlm\core\losses.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
metrics.py,tidyllm\deprecated\old-tidyllm\tlm\core\metrics.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,0
pca_power.py,tidyllm\deprecated\old-tidyllm\tlm\decomp\pca_power.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,10,0
whiten.py,tidyllm\deprecated\old-tidyllm\tlm\decomp\whiten.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,0
logistic_regression.py,tidyllm\deprecated\old-tidyllm\tlm\linear_models\logistic_regression.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
softmax_regression.py,tidyllm\deprecated\old-tidyllm\tlm\linear_models\softmax_regression.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
matrix_factorization.py,tidyllm\deprecated\old-tidyllm\tlm\mf\matrix_factorization.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
gmm_pure.py,tidyllm\deprecated\old-tidyllm\tlm\mixture\gmm_pure.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,6,0
split.py,tidyllm\deprecated\old-tidyllm\tlm\model_selection\split.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
multinomial.py,tidyllm\deprecated\old-tidyllm\tlm\naive_bayes\multinomial.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
linear.py,tidyllm\deprecated\old-tidyllm\tlm\svm\linear.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
test_algos.py,tidyllm\deprecated\old-tidyllm\tlm\tests\test_algos.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
test_gmm_pca_whiten.py,tidyllm\deprecated\old-tidyllm\tlm\tests\test_gmm_pca_whiten.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
test_nb_anom_mf.py,tidyllm\deprecated\old-tidyllm\tlm\tests\test_nb_anom_mf.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
__init__.py,tidyllm\deprecated\old-tidyllm\tlm\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
gaussian.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\anomaly\gaussian.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
scaled_dot_product.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\attention\scaled_dot_product.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
kmeans.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\cluster\kmeans.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
activations.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\core\activations.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
losses.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\core\losses.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
metrics.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\core\metrics.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,0
pca_power.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\decomp\pca_power.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,10,0
whiten.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\decomp\whiten.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,0
logistic_regression.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\linear_models\logistic_regression.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
softmax_regression.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\linear_models\softmax_regression.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
matrix_factorization.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\mf\matrix_factorization.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
gmm_pure.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\mixture\gmm_pure.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,6,0
split.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\model_selection\split.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
multinomial.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\naive_bayes\multinomial.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
linear.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\svm\linear.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
test_algos.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\tests\test_algos.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
test_gmm_pca_whiten.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\tests\test_gmm_pca_whiten.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
test_nb_anom_mf.py,tidyllm\deprecated\old-tidyllm\vectorqa\core\tests\test_nb_anom_mf.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
classifier.py,tidyllm\deprecated\old-tidyllm\vectorqa\documents\classification\classifier.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
__init__.py,tidyllm\deprecated\old-tidyllm\vectorqa\documents\classification\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
metadata.py,tidyllm\deprecated\old-tidyllm\vectorqa\documents\extraction\metadata.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
text.py,tidyllm\deprecated\old-tidyllm\vectorqa\documents\extraction\text.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
__init__.py,tidyllm\deprecated\old-tidyllm\vectorqa\documents\extraction\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
business.py,tidyllm\deprecated\old-tidyllm\vectorqa\documents\templates\business.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
__init__.py,tidyllm\deprecated\old-tidyllm\vectorqa\documents\templates\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm\deprecated\old-tidyllm\vectorqa\documents\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
debug_toc.py,tidyllm\deprecated\old-tidyllm\vectorqa\whitepapers\advanced_analysis\debug_toc.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,0
